temperatura,data
11.835306970355957,2024-01-01 00:00:00
31.995795383095693,2024-01-01 01:00:00
29.649997609372626,2024-01-01 02:00:00
25.67129475703739,2024-01-01 03:00:00
25.91941253291032,2024-01-01 04:00:00
29.77229853186877,2024-01-01 05:00:00
13.196305779147915,2024-01-01 06:00:00
33.659233823503094,2024-01-01 07:00:00
19.909271420267785,2024-01-01 08:00:00
25.31259452911292,2024-01-01 09:00:00
21.99748853946368,2024-01-01 10:00:00
15.050458652620893,2024-01-01 11:00:00
17.415745404963133,2024-01-01 12:00:00
18.804987817502294,2024-01-01 13:00:00
34.453905229805116,2024-01-01 14:00:00
34.44978831355603,2024-01-01 15:00:00
18.43921498136634,2024-01-01 16:00:00
15.846079134727514,2024-01-01 17:00:00
18.895689597934272,2024-01-01 18:00:00
31.745545305520903,2024-01-01 19:00:00
17.61017806227927,2024-01-01 20:00:00
34.78279354738027,2024-01-01 21:00:00
22.9043862985885,2024-01-01 22:00:00
14.993269019269889,2024-01-01 23:00:00
32.94398996414422,2024-01-02 00:00:00
20.390944978362537,2024-01-02 01:00:00
33.70995014031345,2024-01-02 02:00:00
28.782165557055276,2024-01-02 03:00:00
13.234097388063304,2024-01-02 04:00:00
31.94971692694898,2024-01-02 05:00:00
23.78377758907947,2024-01-02 06:00:00
34.897210946526485,2024-01-02 07:00:00
15.817887518120038,2024-01-02 08:00:00
13.38148727899118,2024-01-02 09:00:00
12.884558948051547,2024-01-02 10:00:00
11.201388151193736,2024-01-02 11:00:00
16.120749475590983,2024-01-02 12:00:00
19.13045065575215,2024-01-02 13:00:00
24.390672284313982,2024-01-02 14:00:00
33.57418868847164,2024-01-02 15:00:00
25.082877829912192,2024-01-02 16:00:00
21.50748227872016,2024-01-02 17:00:00
15.45835002421639,2024-01-02 18:00:00
11.66484387053257,2024-01-02 19:00:00
18.971112294438427,2024-01-02 20:00:00
24.26782559469278,2024-01-02 21:00:00
16.694210331875183,2024-01-02 22:00:00
32.6519509032525,2024-01-02 23:00:00
13.009158586963412,2024-01-03 00:00:00
10.872049183108677,2024-01-03 01:00:00
29.280358940600532,2024-01-03 02:00:00
30.65337355947567,2024-01-03 03:00:00
18.114116945495198,2024-01-03 04:00:00
30.96181687745059,2024-01-03 05:00:00
28.631318752495254,2024-01-03 06:00:00
19.024963013361514,2024-01-03 07:00:00
16.783919129998342,2024-01-03 08:00:00
19.86013877183582,2024-01-03 09:00:00
14.131621489629236,2024-01-03 10:00:00
18.09027896240849,2024-01-03 11:00:00
11.983766581896814,2024-01-03 12:00:00
26.759677344612204,2024-01-03 13:00:00
22.725306976526213,2024-01-03 14:00:00
29.296025158381326,2024-01-03 15:00:00
28.499957254598385,2024-01-03 16:00:00
20.18497072040872,2024-01-03 17:00:00
13.426519304489522,2024-01-03 18:00:00
13.309501993267036,2024-01-03 19:00:00
30.324947555737666,2024-01-03 20:00:00
24.2910611234694,2024-01-03 21:00:00
14.614205350242102,2024-01-03 22:00:00
13.403579447292085,2024-01-03 23:00:00
29.698466631985674,2024-01-04 00:00:00
24.009879382776457,2024-01-04 01:00:00
10.374553295129228,2024-01-04 02:00:00
30.410658317524955,2024-01-04 03:00:00
28.554199796788478,2024-01-04 04:00:00
12.120499664068113,2024-01-04 05:00:00
14.42991296587604,2024-01-04 06:00:00
18.929789843962624,2024-01-04 07:00:00
15.602902012421868,2024-01-04 08:00:00
26.98647639077149,2024-01-04 09:00:00
17.88083077958601,2024-01-04 10:00:00
25.914956478588387,2024-01-04 11:00:00
16.932864117374677,2024-01-04 12:00:00
33.9982813403423,2024-01-04 13:00:00
31.01851549781206,2024-01-04 14:00:00
30.114715590947576,2024-01-04 15:00:00
28.404979480014866,2024-01-04 16:00:00
21.249118001934818,2024-01-04 17:00:00
19.271645059773412,2024-01-04 18:00:00
28.40021966104377,2024-01-04 19:00:00
20.783748025787407,2024-01-04 20:00:00
25.40120147436174,2024-01-04 21:00:00
19.38233657622743,2024-01-04 22:00:00
32.92451271063757,2024-01-04 23:00:00
30.797702847025228,2024-01-05 00:00:00
23.855942785432546,2024-01-05 01:00:00
18.132527795198218,2024-01-05 02:00:00
31.748429812263456,2024-01-05 03:00:00
13.062641764926948,2024-01-05 04:00:00
25.5542068183338,2024-01-05 05:00:00
32.98500852578,2024-01-05 06:00:00
15.494720408065735,2024-01-05 07:00:00
18.855342908700948,2024-01-05 08:00:00
13.297621897302655,2024-01-05 09:00:00
18.597213770359495,2024-01-05 10:00:00
18.087762360984858,2024-01-05 11:00:00
32.350518442359,2024-01-05 12:00:00
28.142998663677147,2024-01-05 13:00:00
31.40032772352962,2024-01-05 14:00:00
14.582003924453364,2024-01-05 15:00:00
30.503474359757963,2024-01-05 16:00:00
27.064391129798725,2024-01-05 17:00:00
18.937685306915807,2024-01-05 18:00:00
32.463746583416935,2024-01-05 19:00:00
17.927255236319454,2024-01-05 20:00:00
30.436105260930443,2024-01-05 21:00:00
32.98570381803668,2024-01-05 22:00:00
23.013706129451567,2024-01-05 23:00:00
16.571196694961483,2024-01-06 00:00:00
15.375658708315212,2024-01-06 01:00:00
30.341353819453825,2024-01-06 02:00:00
22.761256534485042,2024-01-06 03:00:00
10.93169730990641,2024-01-06 04:00:00
19.50415051926315,2024-01-06 05:00:00
27.45095200340919,2024-01-06 06:00:00
31.47485091819646,2024-01-06 07:00:00
29.296938703022022,2024-01-06 08:00:00
16.65052404836578,2024-01-06 09:00:00
28.147009242218886,2024-01-06 10:00:00
33.32440051732139,2024-01-06 11:00:00
14.509921602863553,2024-01-06 12:00:00
28.415234384357046,2024-01-06 13:00:00
19.543308929187766,2024-01-06 14:00:00
30.42623151159444,2024-01-06 15:00:00
10.76577278479898,2024-01-06 16:00:00
29.956619632247126,2024-01-06 17:00:00
13.201586388914023,2024-01-06 18:00:00
31.58877379224582,2024-01-06 19:00:00
18.527760028120255,2024-01-06 20:00:00
29.79287365438873,2024-01-06 21:00:00
21.791726347541168,2024-01-06 22:00:00
33.1661425542124,2024-01-06 23:00:00
21.274954626451738,2024-01-07 00:00:00
20.17085494925187,2024-01-07 01:00:00
29.018437771272943,2024-01-07 02:00:00
24.0754919465696,2024-01-07 03:00:00
26.88584188397905,2024-01-07 04:00:00
